Ausgabe;Datum;Originaltitel;Neuauflage­datum;Neuauflagetitel
LTB 110;21.02.1986;Donald ist mein Typ!;1999;Gittas Zauberkünste
LTB 111;04.04.1986;Dagobert dreht voll auf;1999;Das Zauberwasser
LTB 112;16.05.1986;Mit Pauken und Trompeten;1999;Goofy Holmes
LTB 113;04.07.1986;Manege frei fuer Donald Duck;1999;Die Goldsonde
LTB 114;15.08.1986;Rallye Entenhausen;1999;Der Trompeter von Fort Attacke
LTB 115;30.09.1986;Riesenspass beim Ringelpiez;1999;Milliarden mit Melonen
LTB 116;28.11.1986;Ohne Netz und doppelten Boden;1999;Onkel Dagobert auf Abwegen
LTB 117;13.01.1987;Die Ducks vom Winde verweht;1999;Die Ducks... vom Winde verweht
LTB 118;03.03.1987;Donald der Weltenbummler;1999;Der große Preis vom Erpelheimring
LTB 119;21.04.1987;Fern von Entenhausen;1999;Im Lande Liliput
LTB 120;21.04.1987;Entenhausener Wunschkonzert;1999;Die Lichterkrone
LTB 121;21.07.1987;Phantomias und seine Freunde;2000;Der vergessene Schrein
LTB 122;01.09.1987;Querfeldein ueber Stock und Stein;2000;Krieg und Frieden
LTB 123;13.10.1987;Onkel Dagobert lebe hoch;2000;Christoph Kolumbus
LTB 124;01.12.1987;Wettlauf ins Ungewisse;2000;Das gläserne Schwert
LTB 125;12.01.1988;Freie Fahrt fuer Phantomias;2000;Entführt!
LTB 126;01.03.1988;Donald, der Pechvogel;2000;Eine tolle Erfindung
LTB 127;19.04.1988;Die Ducks auf Abwegen;2000;Die Bergung der Gigantic
LTB 128;07.06.1988;Goldregen bringt Segen;2000;Der Duft des Geldes
LTB 129;19.07.1988;Einer spielt falsch;2000;Die Klima-Krise
LTB 130;30.08.1988;Olympisches Fieber;2000;Olympisches Fieber
LTB 131;11.10.1988;60 Jahre Micky!;2000;Herzlichen Glückwunsch, Micky!
LTB 132;29.11.1988;Im Reich der Sterne;2000;Im Reich der Sterne
LTB 133;10.01.1989;Die neue Eiszeit;2000;Attila der Hunnenkönig
LTB 134;28.02.1989;Traum oder Wirklichkeit;2000;Der schwebende Geldspeicher
LTB 135;11.04.1989;Donald im Pech;2000;Kampf um den Mondsand
LTB 136;23.05.1989;Heisses Gold;2000;Heisses Gold
LTB 137;04.07.1989;Das gueldene Fass;2000;Das güldene Faß
LTB 138;15.08.1989;Donald ganz locker;2000;Ein aufdringlicher Begleiter
LTB 139;26.09.1989;Voll in Fahrt;2000;Invasion der Robot-Eulen
LTB 140;21.11.1989;Der ewige Zweite;2000;Der ewige Zweite
LTB 141;09.01.1990;Der Tiger von Masalia;2000;Der Tiger von Masalia
LTB 142;20.02.1990;Goldene Traeume;2000;Goldene Träume
LTB 143;27.02.1990;Das Geheimnis der Silberleuchter;2000;Das Geheimnis der Silberleuchter
LTB 144;20.03.1990;Phantomias und Bubble Billy;2000;Der Geist des Mandarins
LTB 145;24.04.1990;Das Talermonster!;2000;Das Talermonster
LTB 146;22.05.1990;Die Sportskanonen;2000;Sportlich, sportlich...
